p-table-body-item,p-table-body-item 2,,p-table-body-item 3,p-table-body-item 4,,p-table-body-item 5,p-table-body-item 6,p-table-body-item 7,,,p-table-body-item 8,p-table-body-item 9,p-table-body-item 10,p-table-body-item 11,p-table-body-item 12,p-table-body-item 13,p-table-body-item 14,p-table-body-item 15,d-none,p-table-body-item 16,p-table-body-item 17,,
1,3.00135E+11,,アパート,183.74㎡,大阪府,大阪府東大阪市若江西新町１丁目,専任,"9,800万円","9,800",9000,一住,514.57㎡,リバーサイドヴィラ,公開中,-,近鉄奈良線 八戸ノ里,徒歩 9分,-,ＡＭＡ不動産（株）,1992年（平成 4年）11月,080-3303-8729,,250615
2,3.00134E+11,,アパート,84.54㎡,大阪府,大阪府大阪市西成区天下茶屋東２丁目,専任,"5,980万円","5,980",5000,一住,174.21㎡,コモド天下茶屋,公開中,一方,南海本線 天下茶屋,徒歩 10分,-,Ｇｅｍｉｎｉ（株）,1977年（昭和52年） 4月,080-9064-5977,,250615
3,1.00133E+11,,アパート,173.02㎡,埼玉県,埼玉県鶴ヶ島市大字五味ヶ谷,"一般
オーナーチェンジ","3,299万円","3,299",3000,-,136.04㎡,コーポハクツル,-,-,東武東上線 鶴ヶ島,徒歩 8分,東,ＭＩＲＡＩＲＩＳ（株）,1982年（昭和57年） 3月,03-6231-6886,,250615
4,1.00133E+11,,アパート,195.16㎡,東京都,東京都江東区南砂５丁目,"専属
オーナーチェンジ","7,900万円","7,900",7000,-,139.11㎡,,公開中,-,東西線 南砂町,徒歩 10分,-,Ｐｕｒｅ不動産コンサルタント（株）,,03-5809-8578,,250615
5,3.00134E+11,,マンション,168.60㎡,大阪府,大阪府大阪市西淀川区中島１丁目,専属,"11,000万円","11,000",11000,一住,399.98㎡,,公開中,一方,阪神なんば線 出来島,徒歩 12分,南東6.2m,アーバン不動産情報（株）,1989年（平成 1年） 6月,06-6353-8888,,250615
6,1.00133E+11,,アパート,312.89㎡,千葉県,千葉県松戸市八ケ崎７丁目,専任,"8,080万円","8,080",8000,一低,239.23㎡,ジュネパレス松戸第５９,一時停止,-,常磐緩行線 馬橋,徒歩 13分,-,アールフィールズ（株）,1988年（昭和63年） 3月,7032484846,,250615
7,1.00132E+11,,マンション,171.30㎡,東京都,東京都足立区関原２丁目,売主,"19,800万円","19,800",19000,準工,392.91㎡,Ｒ ＦＩＥＬＤＳ ＮＩＳＨＩＡＲＡＩ,-,-,伊勢崎線 梅島,徒歩 13分,-,アールフィールズ（株）,1991年（平成 3年） 5月,047-703-7737,,250615
8,1.00134E+11,,アパート,332.84㎡,埼玉県,埼玉県草加市高砂１丁目,専任,"5,380万円","5,380",5000,-,184.94㎡,,申込あり,一方,伊勢崎線 草加,徒歩 9分,-,アールフィールズ（株）,1985年（昭和60年）10月,047-703-7737,,250615
9,1.00134E+11,,アパート,100.35㎡,千葉県,千葉県松戸市西馬橋広手町,"一般
オーナーチェンジ","4,000万円","4,000",4000,一低,86.64㎡,ポラリス松戸壱番館,-,一方,常磐緩行線 馬橋,徒歩 13分,北東16m,アールフィールズ（株）,2004年（平成16年）12月,080-8779-9234,,250615
10,2.00133E+11,,マンション,452.57㎡,愛知県,愛知県大府市横根町平子,"一般
オーナーチェンジ","7,200万円","7,200",7000,準住,429.16㎡,フォークビルアンドウ,-,三方,東海道線 大府,徒歩 26分,北東11.7m,アクセスプラン（株）,1988年（昭和63年） 6月,052-252-5339,,250615
11,1.00135E+11,,アパート,160.79㎡,千葉県,千葉県船橋市前原東５丁目,"一般
オーナーチェンジ","9,780万円","9,780",9000,一中,190.66㎡,ｖｉｎｏｓｉｔｙ船橋前原,-,一方,京成松戸線 薬園台,,北3m,アドバルーン（有）,2020年（令和 2年）12月,090-4754-6709,,250615
12,1.00125E+11,,アパート,142.03㎡,千葉県,千葉県千葉市中央区大巌寺町,"一般
オーナーチェンジ","4,500万円","4,500",4000,一住,129.17㎡,アメニティ大巌寺,-,角地,京葉線 蘇我,停歩 5分/バス 12分,北西4m,アドバンスホーム㈱,2006年（平成18年）12月,048-256-0024,,250615
13,1.00135E+11,,アパート,205.51㎡,埼玉県,埼玉県川口市三ツ和１丁目,"一般
オーナーチェンジ","15,000万円","15,000",15000,一住,289.59㎡,Ｃｉｅｌ Ｂｌｅｕ 鳩ケ谷,-,一方,埼玉高速線 鳩ヶ谷,徒歩 8分,北,アドバンスホーム㈱,2017年（平成29年） 8月,048-256-0024,,250615
14,1.00135E+11,,アパート,363.06㎡,埼玉県,埼玉県草加市谷塚町,"一般
オーナーチェンジ","26,600万円","26,600",26000,一中,626.04㎡,Ｃｉｅｌ Ｂｌｕｅ 谷塚,-,二方,伊勢崎線 谷塚,徒歩 5分,東4.2m,アドバンスホーム㈱,2018年（平成30年） 3月,048-256-0024,,250615
15,1.00135E+11,,マンション,62.30㎡,東京都,東京都渋谷区上原１丁目,一般,"26,460万円","26,460",26000,二中,162.42㎡,,-,一方,小田急線 代々木八幡,徒歩 3分,-,アルカス住宅販売（株） 練馬南大泉店,2023年（令和 5年） 2月,03-5947-5767,,250615
16,1.00133E+11,,マンション,828.91㎡,愛知県,愛知県蒲郡市形原町出口,"一般
オーナーチェンジ","7,000万円","7,000",7000,準工,750.04㎡,,-,一方,蒲郡線 三河鹿島,徒歩 15分,東11m,きらめき不動産（株）,1981年（昭和56年） 9月,456333463,,250615
17,1.00134E+11,,アパート,492.69㎡,長野県,長野県長野市大字柳原,"一般
オーナーチェンジ","4,000万円","4,000",4000,-,219.24㎡,,-,-,長電長野線 柳原,,-,きらめき不動産（株）,1996年（平成 8年） 3月,080-6558-4582,,250615
18,1.00135E+11,,アパート,209.03㎡,埼玉県,埼玉県川口市三ツ和１丁目,"一般
オーナーチェンジ","12,500万円","12,500",12000,一住,199.74㎡,,-,-,埼玉高速線 鳩ヶ谷,徒歩 9分,-,きらめき不動産（株）,2018年（平成30年） 6月,080-6558-4582,,250615
19,2.00132E+11,,アパート,269.67㎡,三重県,三重県津市八幡町津,"一般
オーナーチェンジ","6,400万円","6,400",6000,一住,293.68㎡,リーブルファイン八幡,-,一方,紀勢線 阿漕,徒歩 20分,東4m,サンリッチエステート（株）,2018年（平成30年） 9月,522281468,,250615
20,1.00135E+11,,アパート,39.23㎡,東京都,東京都杉並区井草１丁目,専属,"2,990万円","2,990",2000,一低,49.96㎡,Ｌｅｔｉｚｉａ,公開中,一方,西武新宿線 下井草,徒歩 5分,-,スターツピタットハウス（株） 荻窪店,1975年（昭和50年）12月,03-5347-1851,,250615
21,1.00135E+11,,アパート,81.71㎡,東京都,東京都江東区牡丹３丁目,"専属
オーナーチェンジ","9,800万円","9,800",9000,準工,134.50㎡,ビーンズハウスⅠ・Ⅱ,公開中,一方,東西線 門前仲町,徒歩 7分,北東3.5m,スターツピタットハウス（株） 門前仲町店,2013年（平成25年）10月,070-4572-4251,,250615
22,1.00133E+11,,アパート,183.00㎡,神奈川県,神奈川県横浜市磯子区磯子６丁目,専属,"3,000万円","3,000",3000,一低,172.60㎡,,公開中,一方,根岸線 磯子,徒歩 21分,北6.5m,スターツピタットハウス（株） 上大岡店,1972年（昭和47年）12月,045-847-6277,,250615
